,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart
120,36,0.1,0.058067381256827005,32,294.0,0,1.0
121,36,0.1,0.027364050887051516,32,294.0,0,1.0
122,36,0.1,0.03746761309872551,32,294.0,0,1.0
123,36,0.1,0.07073914577738144,32,294.0,0,1.0
124,36,0.1,0.06947154360980548,32,294.0,0,1.0
125,36,0.1,0.09072378827981709,32,294.0,0,1.0
126,36,0.1,0.11476569504941056,32,294.0,0,1.0
127,36,0.1,0.024312857420072387,32,294.0,0,1.0
128,36,0.1,0.011566401199290838,32,294.0,0,1.0
129,36,0.1,0.0002099029596009383,32,294.0,0,1.0
130,36,0.1,0.07458970449091529,32,294.0,0,1.0
131,36,0.1,0.0040445903597169375,32,294.0,0,1.0
132,36,0.1,0.07427853009672478,32,294.0,0,1.0
133,36,0.1,0.08176378002003751,32,294.0,0,1.0
134,36,0.1,0.00581472729388377,32,294.0,0,1.0
135,36,0.1,0.06942241498093091,32,294.0,0,1.0
136,36,0.1,0.05969477297444148,32,294.0,0,1.0
137,36,0.1,0.06326059967111333,32,294.0,0,1.0
138,36,0.1,0.014898432142436524,32,294.0,0,1.0
139,36,0.1,0.0276045149634071,32,294.0,0,1.0
140,36,0.1,0.06927731897649245,32,294.0,0,1.0
141,36,0.1,0.06629991410760663,32,294.0,0,1.0
142,36,0.1,0.002846277499033739,32,294.0,0,1.0
143,36,0.1,0.03971135815489246,32,294.0,0,1.0
144,36,0.1,0.05338949781656943,32,294.0,0,1.0
145,36,0.1,0.08409281716891703,32,294.0,0,1.0
146,36,0.1,0.06821469635882493,32,294.0,0,1.0
147,36,0.1,0.0548132633612512,32,294.0,0,1.0
148,36,0.1,0.04987708448338954,32,294.0,0,1.0
149,36,0.1,0.010420052435216376,32,294.0,0,1.0
150,36,0.1,0.02281738091282004,32,294.0,0,1.0
151,36,0.1,0.06071756065449424,32,294.0,0,1.0
152,36,0.1,0.0038962455112791505,32,294.0,0,1.0
153,36,0.1,0.01346049622503881,32,294.0,0,1.0
154,36,0.1,0.04093468404990083,32,294.0,0,1.0
