VE,VE Transmission,Mask Effect,Average Secondary Infections
0.66,0.29,0.21749999999999997,0.009045803235177917
0.66,0.5,0.21749999999999997,0.0062743052646512575
0.66,1.0,0.21749999999999997,1.4870862537805418e-05
0.76,0.29,0.21749999999999997,0.006275172265987838
0.76,0.5,0.21749999999999997,0.004410130435332163
0.76,1.0,0.21749999999999997,0.0
0.79,0.29,0.21749999999999997,0.005578877948502959
0.79,0.5,0.21749999999999997,0.0039315675739045415
0.79,1.0,0.21749999999999997,3.5077448328641255e-06
0.88,0.29,0.21749999999999997,0.00317557172982652
0.88,0.5,0.21749999999999997,0.0022033550691641056
0.88,1.0,0.21749999999999997,2.7821735933561664e-06
0.4,0.29,0.23199999999999998,0.016761746552562243
0.4,0.5,0.23199999999999998,0.012036204952375314
0.4,1.0,0.23199999999999998,0.0
0.42,0.29,0.23199999999999998,0.01648451394992061
0.42,0.5,0.23199999999999998,0.011302995663251138
0.42,1.0,0.23199999999999998,0.0
0.66,0.29,0.23199999999999998,0.009648856784189778
0.66,0.5,0.23199999999999998,0.006692592282294675
0.66,1.0,0.23199999999999998,1.5862253373659112e-05
0.76,0.29,0.23199999999999998,0.006693517083720362
0.76,0.5,0.23199999999999998,0.004704139131020973
0.76,1.0,0.23199999999999998,0.0
0.79,0.29,0.23199999999999998,0.005950803145069823
0.79,0.5,0.23199999999999998,0.0041936720788315115
0.79,1.0,0.23199999999999998,3.741594488388401e-06
0.88,0.29,0.23199999999999998,0.0033872765118149544
0.88,0.5,0.23199999999999998,0.0023502454071083795
0.88,1.0,0.23199999999999998,2.9676518329132444e-06
0.4,0.29,0.2465,0.017809355712097383
0.4,0.5,0.2465,0.012788467761898771
0.4,1.0,0.2465,0.0
0.42,0.29,0.2465,0.01751479607179065
0.42,0.5,0.2465,0.012009432892204333
0.42,1.0,0.2465,0.0
0.66,0.29,0.2465,0.010251910333201641
0.66,0.5,0.2465,0.007110879299938093
0.66,1.0,0.2465,1.6853644209512808e-05
0.76,0.29,0.2465,0.007111861901452884
0.76,0.5,0.2465,0.0049981478267097845
0.76,1.0,0.2465,0.0
0.79,0.29,0.2465,0.006322728341636687
0.79,0.5,0.2465,0.0044557765837584815
0.79,1.0,0.2465,3.975444143912676e-06
0.88,0.29,0.2465,0.0035989812938033894
0.88,0.5,0.2465,0.0024971357450526534
0.88,1.0,0.2465,3.1531300724703224e-06
0.4,0.29,0.261,0.018856964871632527
0.4,0.5,0.261,0.01354073057142223
0.4,1.0,0.261,0.0
0.42,0.29,0.261,0.01854507819366069
0.42,0.5,0.261,0.01271587012115753
0.42,1.0,0.261,0.0
0.66,0.29,0.261,0.010854963882213502
0.66,0.5,0.261,0.00752916631758151
0.66,1.0,0.261,1.7845035045366504e-05
0.76,0.29,0.261,0.007530206719185408
0.76,0.5,0.261,0.005292156522398596
0.76,1.0,0.261,0.0
0.79,0.29,0.261,0.006694653538203551
0.79,0.5,0.261,0.004717881088685451
0.79,1.0,0.261,4.209293799436951e-06
0.88,0.29,0.261,0.0038106860757918244
0.88,0.5,0.261,0.0026440260829969273
0.88,1.0,0.261,3.3386083120274004e-06
0.4,0.29,0.27549999999999997,0.019904574031167663
0.4,0.5,0.27549999999999997,0.014292993380945685
0.4,1.0,0.27549999999999997,0.0
0.42,0.29,0.27549999999999997,0.019575360315530727
0.42,0.5,0.27549999999999997,0.013422307350110725
0.42,1.0,0.27549999999999997,0.0
0.66,0.29,0.27549999999999997,0.011458017431225362
0.66,0.5,0.27549999999999997,0.007947453335224926
0.66,1.0,0.27549999999999997,1.8836425881220196e-05
0.76,0.29,0.27549999999999997,0.007948551536917928
0.76,0.5,0.27549999999999997,0.0055861652180874055
0.76,1.0,0.27549999999999997,0.0
0.79,0.29,0.27549999999999997,0.007066578734770414
0.79,0.5,0.27549999999999997,0.00497998559361242
0.79,1.0,0.27549999999999997,4.443143454961226e-06
0.88,0.29,0.27549999999999997,0.004022390857780258
0.88,0.5,0.27549999999999997,0.002790916420941201
0.88,1.0,0.27549999999999997,3.5240865515844776e-06
0.4,0.29,0.29,0.020952183190702803
0.4,0.5,0.29,0.015045256190469142
0.4,1.0,0.29,0.0
0.42,0.29,0.29,0.020605642437400765
